Name,Skills,Skill Count,Critical Success Desc,Critical Success Effects,Success Desc,Success Effects,Failure Desc,Failure Effects,Critical Failure Desc,Critical Failure Effects
Execute or Pardon Prisoners,"intimidation (harsh justice (execute)), society (legal proceedings (execute)), diplomacy (clemency (pardon)), religion (divine forgiveness (pardon)), performance (public ceremony (pardon))",5,The prison is emptied.,Release all imprisoned unrest,Justice is served.,Release imprisoned unrest,The prisoners you choose are inconsequential.,No effect,Your judgment causes outrage.,+1 unrest
Fortify Hex,"crafting (build fortifications), athletics (manual construction), intimidation (defensive displays), survival (wilderness defenses)",4,The fortification is constructed swiftly.,-1 unrest,The fortification is constructed.,Fortify selected hex,Construction accidents delay progress.,No progress; no effect,Workers are injured in a construction mishap.,+1 unrest
Harvest Resources,"nature (natural harvesting), survival (efficient extraction), crafting (process materials)",3,The harvest is exceptional.,Harvest resources from all worksites at 150% rate,The harvest is good.,Harvest resources from all worksites,The harvest yields nothing.,No progress; no effect,Damaged equipment and wasted effort.,-1 gold
Infiltration,"deception (false identities), stealth (covert operations), thievery (steal secrets), society (social infiltration), arcana (magical espionage), acrobatics (daring infiltration)",6,Valuable intel is gathered.,+1d4 gold,Intel is gathered.,Gather intelligence on target faction,The mission fails.,No progress; no effect,Your spies are captured.,+1 unrest; -1d4 gold
Outfit Army,"crafting (forge equipment), society (requisition supplies), intimidation (commandeer resources), thievery (acquire through subterfuge)",4,Army receives +2 equipment bonus,Army receives +2 equipment bonus,Army receives +1 equipment bonus,Army receives +1 equipment bonus,Failed to find a suitable supplier,-1 ore; -2 gold,Resources lost to corruption and waste,-1 ore; -2 gold
Purchase Resources,"society (find suppliers), diplomacy (negotiate deals), intimidation (demand better prices), deception (misleading negotiations)",4,You secure exceptional trade rates.,Purchase selected resources at reduced cost,Resources are purchased.,Purchase selected resources,No trade is available.,No progress; no effect,The negotiations fail catastrophically. Theft and brokerage fees cost you gold.,-1d4 gold
Recruit Army,"diplomacy (inspire patriotism), intimidation (conscription), society (civic duty), performance (recruitment rallies), athletics (demonstrations of prowess)",5,Patriotic fervor spreads.,-1 unrest,Troops are recruited.,Recruit 1 army unit,Recruitment fails.,No progress; no effect,The recruitment attempt angers the populace.,+1 unrest
Repair Structure,"crafting (construction expertise), society (organize workforce), athletics (physical labor)",3,Structure repaired for free.,Repair selected structure (no cost),Structure repaired.,Repair selected structure,Structure remains damaged.,No progress; no effect,Time and money wasted.,-1 gold
Request Economic Aid,"diplomacy (formal request), society (leverage connections), performance (emotional appeal), deception (exaggerate need), medicine (humanitarian aid)",5,Your ally provides generous support.,+2d6 gold,Your ally provides support.,+1d4+1 gold,Your ally cannot help.,No aid received,Your ally is offended.,Faction attitude worsens
Request Military Aid,"diplomacy (alliance obligations), intimidation (pressure tactics), society (mutual defense), arcana (magical pacts)",4,Your ally sends elite reinforcements to support your cause.,Receive elite military reinforcements,Your ally provides military equipment and supplies.,Receive military equipment and supplies,Your ally cannot help at this time.,No aid received,Your ally is offended by the request.,Faction attitude worsens
Sell Surplus,"society (market knowledge), diplomacy (trade negotiations), deception (inflate value), performance (showcase goods), thievery (black market)",5,You secure exceptional trade rates.,Sell selected resources at premium price,Resources are sold.,Sell selected resources,No buyers are found.,No progress; no effect,You lose resources to fraud and corruption.,Lose resources to fraud
Send Scouts,"stealth (covert reconnaissance), survival (wilderness expertise), nature (read the land), society (gather local information), athletics (rapid exploration), acrobatics (navigate obstacles)",6,The scouts return with detailed information.,Reveal multiple unexplored hexes,The scouts return with information.,Reveal unexplored hexes,The scouts find nothing.,-1 gold,The scouts are lost.,+1 unrest
Tend Wounded,"medicine (heal the wounded), performance (boost morale), religion (spiritual restoration), nature (natural remedies), crafting (repair equipment)",5,The troops recover completely.,Restore army to full health/morale,The troops recover.,Restore army health/morale,The troops fail to recover.,Army remains wounded,The recovery effort fails.,Army morale decreases
Train Army,"intimidation (harsh discipline), athletics (physical conditioning), acrobatics (agility training), survival (endurance exercises)",4,The troops train exceptionally well.,Army gains permanent stat improvement,The troops train well.,Army improves through training,Your army does not improve.,No improvement,The training goes poorly.,Army morale decreases
Upgrade Settlement,"crafting (infrastructure expansion), society (urban planning), performance (inspire growth), arcana (magical enhancement), medicine (public health improvements)",5,The settlement grows rapidly. Upgrade at half cost.,Upgrade settlement to next tier at half cost,The settlement grows. Upgrade at full cost.,Upgrade settlement to next tier at full cost,"Construction setbacks waste resources. Lose half cost, no upgrade.",Lose half upgrade cost; no upgrade,"Accidents and incompetence waste the investment. Lose full cost, no upgrade.",Lose full upgrade cost; no upgrade
