Name,Approach,Skills,Skill Count,Approach Descriptor,Critical Success,CS Val,CS Text,Success,S Val,S Text,Failure,F Val,F Text,Critical Failure,CF Val,CF Text,Description,Status
,Practical,"performance, society, diplomacy",3,Appropriate Ceremony,"+1 Fame, +1d3+1 Gold",8,Flawless ceremony impresses all; diplomatic exchanges yield lasting prosperity.,+1 Fame,5,Measured pomp satisfies protocols; respectful balance earns reputation.,Fame -1,-5,Stiff formality rings hollow; expensive pageantry yields little warmth.,"-1 Fame, +1d2 Unrest",-8,Botched protocols embarrass all; wasted grandeur breeds mockery.,,
,Ruthless,"performance, diplomacy, thievery",3,Lavish Display,+4d3 Gold,8,Ruthless opulence dazzles celebrity; awed guests shower kingdom with riches.,+2d4 Gold,5,Shameless spectacle impresses elite; extravagant display purchases favor.,-2d4 Gold,-5,Wasteful excess outrages citizens; gilded theater cannot mask greed.,"-1 Fame, -1 Gold, +1 Unrest",-8,Grotesque indulgence sparks riots; burning wealth mocks starving masses.,,
23. Grand Tournament,Virtuous,"performance, athletics, religion",3,Free Celebrations,"Faction +1, Fame +1, -1 Unrest",10,Free games unite the realm; joy echoes in every heart.,Fame +1,5,Open celebration inspires pride and loyalty.,Damage 1 structure,-5,Crowds overwhelm facilities; property damaged.,"-2d4 Gold, Damage 1 structure",-10,Chaos and vandalism mar the festivities.,A grand tournament brings competitors from across the realm.,Reviewed
,Practical,"athletics, society, crafting",3,Organized Event,"+1 Structure, +1d3 Gold, Faction +1",10,Perfect event attracts permanent arena construction.,"+1d3 Gold, Faction +1",5,Entry fees and wagers generate healthy profit.,"Faction -1, -1d3 Gold",-5,Costs exceed revenues; organizers disappointed.,"-1d3 Gold, Faction -1, Damage 1 structure",-10,Accidents tarnish reputation and damage grounds.,,
,Ruthless,"diplomacy, performance, thievery",3,Exclusive Affair,"Army Well Trained, Faction +1, +1d3 Gold",10,Elite nobles compete; winning troops gain prestige.,Army Well Trained,5,Exclusive bouts sharpen military skills.,"Army fatigued, -1d3 Gold",-5,Commons resent exclusion; troops exhausted.,"-1 Fame, Army fatigued, -1 innocents",-10,Riots erupt outside locked gates; casualties mount.,,
24. Archaeological Find,Virtuous,"society, religion, crafting",3,Preserve Heritage,"Faction +1, Settlement +1 Level",8,Citizens flock to the heritage site; the settlement thrives.,Settlement +1 Level,5,Cultural pride strengthens community bonds.,Settlement -1 Level,-5,Poorly managed site becomes burden on the settlement.,"Settlement -1 Level, Faction -1",-8,Neglected ruins anger historians and locals alike.,Ancient ruins or artifacts are discovered in your territory.,Reviewed
,Practical,"society, occultism, arcana",3,Scholarly Study,"+1 Structure, Faction +1",8,Museum draws scholars and tourists from distant lands.,"Faction +1, +1d3 Gold",5,Academic interest brings modest revenue.,"-1d3 Gold, Faction -1",-5,Research costs spiral beyond initial estimates.,"Fame -1, Faction -1",-8,Failed exhibition embarrasses royal patrons.,,
,Ruthless,"diplomacy, society, thievery",3,Sell Artifacts,"+2d4 Gold, Faction +1",8,Wealthy collectors compete for prized relics.,+2d4 Gold,5,Private auctions yield substantial profit.,-2d4 Gold,-5,Rushed sales fumble valuable artifacts.,"Faction -1, -2d4 Gold",-8,Greed angers scholars; treasures sold for pittance.,,
25. Magical Discovery,Virtuous,"arcana, diplomacy, occultism",3,Share Freely,"Faction +1, Faction +1, Fame +1",11,Selfless sharing sparks wondrous breakthroughs; nations praise generosity.,Fame +1,5,Open hearts share arcane secrets; grateful scholars spread your fame.,Fame -1,-5,Naive idealism invites reckless experimentation; accidents tarnish reputation.,"Faction -1, Faction -1, Fame -1",-11,Unchecked access unleashes magical chaos; explosions shatter buildings and trust.,A source of magical power is discovered.,Reviewed
,Practical,"arcana, society, crafting",3,Academic Study,"Fame +1, Faction +1, +1d3+1 Gold",11,Methodical study unlocks sustainable arcane innovations; steady profits flow.,"+1d3 Gold, Faction +1",5,Regulated research channels power safely; controlled gains satisfy all.,"Faction -1, -1d3 Gold",-5,Bureaucratic restrictions frustrate ambitious mages; resentment builds.,"Faction -1, Fame -1, +d2 Unrest",-11,Tangled regulations stifle discovery; wasted potential breeds anger.,,
,Ruthless,"intimidation, arcana, thievery",3,Secret Knowledge,"+3d3 Gold, Fame +1",11,Ruthless secrecy exploits arcane power; vast wealth flows from monopoly.,+2d4 Gold,5,Guarded knowledge enriches only kingdom coffers; profits soar unchallenged.,-2d4 Gold,-5,Jealous hoarding breeds whispers of corruption; gold cannot buy trust.,"-1 Fame, Damage 1 structure, -1 Gold",-11,Paranoid control sparks magical sabotage; explosions punish greed.,,
26. Remarkable Treasure,Virtuous,"diplomacy, society, religion",3,Share with All,"Fame +1, -1d3 Unrest",9,Selfless sharing unites hearts; grateful factions celebrate generous leaders.,-1d3 Unrest,4,Fair distribution eases burdens; grateful citizens praise compassion.,"-1d3 Gold, -1d3 Resource",-4,Noble gestures squander wealth inefficiently; waste overshadows kindness.,"+1d3 Unrest, Fame -1",-9,Chaotic handouts spark riots over unfair shares; good intentions burn.,A valuable treasure is discovered or recovered.,Reviewed
,Practical,"society, crafting, thievery",3,Add to Treasury,"+2d4 Gold, +2d3 Resource",9,Methodical investment multiplies treasure; wise planning yields lasting prosperity.,"+1d3 Gold, +1d3 Resource",4,Pragmatic allocation strengthens coffers; measured approach builds reserves.,+1d3 Unrest,-4,Bureaucratic hoarding frustrates citizens watching wealth locked away.,"+1d3 Unrest, Fame -1",-9,Greedy stockpiling breeds anger; resentment costs more than treasure gains.,,
,Ruthless,"thievery, diplomacy, deception",3,Keep for Leadership,"Gain Action, +1 Gold",9,Ruthless elite claim spoils; enriched leaders ignore public grumbling.,+2d3 Gold,4,Greedy leaders pocket treasure; simmering anger shadows ill-gotten gains.,+1d3 Unrest,-4,Blatant theft outrages citizens; stolen wealth cannot buy lost trust.,"+1d3 Unrest, -1 Fame",-9,Shameless plunder sparks rebellion; paralyzed leadership faces consequences.,,
28. Nature's Blessing,Virtuous,"nature, diplomacy, religion",3,Preserve Carefully,"+2d3 Food, +1d3 Resource, -1d3 Unrest",10,Reverent stewardship multiplies nature\,"+1d3 Food, -1d3 Unrest",6,Gentle care preserves beauty; grateful hearts harvest sustainable bounty.,"-1d3 Food, -2d3 Resource",-6,Overcautious protection prevents use; wonder fades untouched and wasted.,"-2d3 Resource, -2d3 Resource",-8,Timid inaction squanders opportunity; ephemeral beauty vanishes unremarked.,A natural wonder brings bounty to your lands.,Reviewed
,Practical,"nature, society, crafting",3,Harvest Sustainably,"+2d4 Food, +2d4 Resource",10,Wise planning balances harvest and preservation; abundance fills storehouses.,"+2d3 Resource, +1d3 Food",6,Measured gathering respects nature while providing steady resources.,"-1d3 Food, -2d3 Resource",-6,Hesitant management yields meager results; neither preserved nor harvested well.,"-2d3 Resource, -2d3 Resource",-8,Confused directives waste opportunity; botched harvest angers everyone.,,
,Ruthless,"nature, intimidation, thievery",3,Exploit Fully,"+2d4 Food, +2d4 Gold",10,Ruthless extraction strips nature bare; mountains of wealth mask moral cost.,"+2d4 Gold, +1 Food",6,Greedy harvesting fills coffers; devastated landscape testifies to ambition.,"+1d3 Unrest, -1d3 Resource",-6,Brutal exploitation destroys beauty for fleeting gains; outrage follows waste.,"+1d3 Unrest, -2d3 Resource",-8,Reckless devastation leaves barren scars; destroyed wonder breeds bitter regret.,,
29. Good Weather,Virtuous,"performance, diplomacy, religion",3,Celebrate,-1d4 Unrest,5,Joyous festivals unite hearts; tales of revelry spread far and wide.,-1d2 Unrest,3,Grateful citizens rest beneath blue skies; harmony fills the realm.,-1d3+1 Gold,-3,Idle hands while others toil; workers grumble at unfairness.,-2d4 Gold,-5,Prolonged revelry empties coffers; indulgence breeds contempt.,Unusually favorable weather presents opportunities.,Reviewed
,Practical,"nature, society, crafting",3,Work Hard,"+1d4 Resource, +1d4 Food",5,Tireless labor under perfect skies fills barns and coffers alike.,+1d3+1 Food,3,Steady hands gather bounty; pragmatic planning yields prosperity.,+1d2 Unrest,-3,Relentless demands exhaust willing workers; discontent simmers.,+1d4 Unrest,-5,Brutal schedules break spirits; exhausted laborers rebel.,,
,Ruthless,"intimidation, performance, survival",3,Military Exercises,Army Well Trained,5,Brutal drills forge elite warriors; ruthless discipline inspires fear.,Heal Army,3,Merciless training hardens soldiers; armies grow battle-ready.,Army fatigued,-3,Harsh exercises push troops too far; weary soldiers stumble.,Army enfeebled,-5,Ruthless demands break bodies and morale; training backfires.,,
30. Military Exercises,Virtuous,"athletics, survival, performance",3,Defensive Drills,"Fortify Hex, Fame +1",11,Inspired defenders fortify borders; citizens praise your vigilance.,Fortify Hex,6,Methodical drills secure strategic positions without incident.,"Army fatigued, Faction -1",-6,Overworked soldiers grumble; allies question your judgment.,"Army enfeebled, -1 Fame",-10,Training accidents cripple troops and humiliate commanders.,Your armies conduct training exercises.,Reviewed
,Practical,"crafting, society, intimidation",3,Equipment Focus,"Army equip, Army equip, +1 Gold",11,Master craftsmen forge superior gear; sponsors fund more.,"Army equip, +1 Gold",6,Efficient logistics upgrade armaments and save resources.,"Army fatigued, -1d3+1 Gold",-6,Budget overruns yield exhausted troops and empty coffers.,"Army enfeebled, -1 Fame",-10,Mismanagement depletes funds and crushes troop morale.,,
,Ruthless,"intimidation, deception, athletics",3,Aggressive Training,"Army Well Trained, Fame +1, +1 Gold",11,Fierce spectacle terrifies rivals; hardened warriors emerge victorious.,"Army Well Trained, +1 Gold",6,Grueling regimen forges elite soldiers and attracts mercenary coin.,"Army fatigued, Faction -1",-6,Ruthless drills shatter bodies and provoke neighboring outrage.,"Army enfeebled, -1 Fame",-10,Savage methods break soldiers and invite universal condemnation.,,
31. Drug Den,Virtuous,"medicine, diplomacy, religion",3,Rehabilitation,"Faction +1, -1d4 Unrest",8,Compassionate care redeems addicts; community celebrates recovery stories.,-1d3 Unrest,4,Treatment programs heal suffering souls and restore shattered families.,-2d3 Gold,-4,Expensive programs deplete treasury with limited recovery success.,"-2d3 Gold, Damage 1 structure",-9,Naive idealism drains coffers while trade flourishes unchecked.,Illegal substances are being distributed in your kingdom.,Reviewed
,Practical,"society, medicine, thievery",3,Regulate & Tax,"+2d4 Gold, +Ongoing Gold (1 for 3)",8,Pragmatic licensing transforms vice into sustainable revenue stream.,"+1 Gold, +Ongoing Gold",4,Controlled trade fills coffers while maintaining public order.,+1d3 Unrest,-4,Underground dealers evade taxes; regulation proves toothless.,"+1d3 Unrest, Fame -1",-9,Profiteering from suffering outrages citizens and damages legitimacy.,,
,Ruthless,"intimidation, athletics, stealth",3,Crush with Force,"Convert 1d3+1, Fame +1",8,Brutal raids terrorize dealers into submission; imprisoned criminals rot in cells.,Convert 2d3,4,Savage crackdown disrupts supply; fear silences the trade.,+1d3 innocents,-4,Brutal tactics spark outrage; innocents suffer alongside dealers.,"Damage 1 structure, -1d3 innocents",-9,Violent raids ignite riots; burning buildings mark your tyranny.,,
32. Monster Attack,Virtuous,"nature, diplomacy, medicine",3,Relocate Peacefully,"Fame +1, Faction +1",8,Harmony restored; the grateful beast becomes a local guardian.,Fame +1,5,Peaceful relocation succeeds; creature departs safely.,Fame -1,-5,Stubborn beast refuses; diplomatic efforts exhausted.,"Damage 1 structure, +1d4 Unrest",-10,Enraged creature rampages through nearby structures.,A dangerous creature threatens settlements.,Reviewed
,Practical,"stealth, intimidation, survival",3,Hire Hunters,"+2d4 Gold, -1d2 Unrest",8,Expert hunters claim trophy parts worth a fortune.,"+1d3+1 Gold, -1 Unrest",5,Professional kill yields valuable materials for sale.,"+1 Unrest, -1d3+1 Gold",-5,Costly hunt ends in failure; gold wasted on fruitless pursuit.,"-2d4 Gold, +1d4 Unrest",-10,Fleeing hunters leave carnage and broken buildings behind.,,
,Ruthless,"intimidation, athletics, stealth",3,Mobilize Army,"Army Well Trained, +1d3+1 Gold",8,Decisive victory forges battle-hardened veterans from raw troops.,Army Well Trained,5,Coordinated assault trains soldiers in live combat.,"Army fatigued, -1d3 Gold",-5,Beast outmaneuvers weary troops; collateral damage spreads.,"Army enfeebled, Damage 1 structure",-10,Humiliating rout leaves soldiers wounded and demoralized.,,
33. Undead Uprising,Virtuous,"occultism, diplomacy, religion",3,Consecrate Land,"Faction +1, Fame +1",8,Sacred rituals grant eternal peace; blessed ground yields abundant harvest.,-1d3 Unrest,4,Compassionate rites lay troubled spirits to rest; gratitude fills the air.,+1d4 Unrest,-5,Gentle ceremonies prove insufficient; restless dead resist prayers.,"Damage 1 structure, +1d4 Unrest",-10,Naive faith falters; enraged spirits shatter sanctuaries in fury.,The dead rise to threaten the living.,Reviewed
,Practical,"occultism, athletics, intimidation",3,Mobilize Troops,"Faction +1, Army Well Trained",8,Disciplined troops contain outbreak; methodical response trains elite defenders.,"Faction +1, +1 Gold",4,Professional forces quarantine threat; systematic purge succeeds.,"-1d3 Gold, Faction -1",-5,Cautious tactics drain coffers; indecisive leadership loses ground.,"Damage 1 structure, Fame -1",-10,Hesitant response allows spread; overwhelmed forces flee in terror.,,
,Ruthless,"intimidation, stealth, thievery",3,Burn Everything,"Convert 2d3 (necromancers), +2d3 Gold",8,Ruthless flames purge corruption; captured necromancers face brutal justice.,"Convert 1d3, +1d3 Gold",4,Merciless inferno consumes undead; scorched earth marks grim victory.,Lose 1 hex,-5,Reckless burning spreads chaos; indiscriminate flames devour innocent lands.,"Damage 1 structure, Lose 1 hex",-10,Catastrophic firestorm razes everything; ashes mark shameful defeat.,,
34. Cult Activity,Virtuous,"society, diplomacy, religion",3,Investigate Respectfully,"Faction +1, -1d4 Unrest",8,Respectful inquiry reveals benign practices; relations bloom.,-1d3 Unrest,4,Understanding dispels fear and mistrust.,+1d3 Unrest,-4,Half-hearted investigation satisfies no one.,"Faction -1, +1d4 Unrest, -1d3 Gold",-10,Offended cultists vandalize property in retaliation.,A secretive cult operates within your kingdom.,Reviewed
,Practical,"stealth, society, occultism",3,Monitor & Contain,"Faction +1, Army Well Trained",8,Surveillance exposes schemes; trained agents prevent spread.,"+1 Gold, Faction +1",4,Vigilant watch contains cult influence.,"Faction -1, -1 Gold",-4,Wasted resources buy no useful intelligence.,"+Ongoing Unrest, -2d3 Gold",-10,Cult slips past watchers; influence festers.,,
,Ruthless,"intimidation, athletics, stealth",3,Heretics Burn,"Convert 1d3 (cultists), -1d3 Unrest, +1d3 Gold",8,Ruthless purge crushes cult; seized treasures enrich coffers.,"Convert 1d3, +1d3 Gold",4,Swift arrests dismantle the organization.,+1d3 innocents,-4,Brutal tactics sweep up innocents with cultists.,"Fame -1, Damage 1 structure",-10,Violent suppression sparks riots; buildings burn.,,
