Name,Approach,Approach Descriptor,Critical Success,CS Val,Success,S Val,Failure,F Val,Critical Failure,CF Val,Description,Status
,"Practical","Ration & Import","-1d4 Unrest, +1 Fame",10,"-1d3 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"+1d3 Unrest, -1d3 Gold, -2d3 Food",-10,"",
,"Ruthless","Feed Nobility","-1d4 Unrest, +2d4 Gold",10,"+2d3 Gold",4,"-1d3 Food, +1 Unrest",-4,"+1d4 Unrest, -1d3 Food, Faction -1",-10,"",
7. Natural Disaster,"Virtuous","Rescue & Relief","+1 Fame, Faction +1, -1 Unrest",10,"-1d4 Unrest",5,"Lose Worksite",-5,"Damage 1 structure, Lose Worksite",-10,"Earthquake, flood, or storm devastates the region.",Reviewed
,"Practical","Protect Infrastructure","+2d4 Gold, -1d4 Unrest",10,"-1d2 Unrest, +1d3 Gold",5,"+1 Unrest, -1d3 Food, -1 Gold",-5,"-1d3 Food, -1d3 Lumber, -1d3 Ore, +1d3 Unrest",-10,"",
,"Ruthless","Martial Law","-1d2 Unrest, +1d3 Gold, Army Well Trained",10,"+1d3 Gold, -1d2 Unrest",5,"Army enfeebled",-5,"Damage 1 structure, Army enfeebled",-10,"",
8. Immigration,"Virtuous","Welcome Citizens","+1d3 Gold, +1 Fame, Faction +1",10,"+1d3 Gold, Faction +1",5,"+1 Unrest, Faction -1",-5,"Faction -1, +1d3 Unrest, -1d3+1 Food",-10,"A large group of refugees seeks shelter in your kingdom.",Reviewed
,"Practical","Selective Entry","+1 Worksite, -1d4 Unrest",10,"-1d4 Unrest",5,"-1d3+1 Gold, -1d3 Food",-5,"-1 Fame, -2d3 Gold, -1d3 Food",-11,"",
,"Ruthless","Forced Labour","+1 Worksite, Settlement +1 Level",10,"+1 Worksite",5,"+1d4 Unrest",-5,"+1d4 Unrest, -1 Fame",-10,"",
9. Assassination Attempt,"Virtuous","Public Investigation","+1 Fame, Faction +1, -1d4 Unrest",13,"-1d3 Unrest",4,"+1d2 Unrest, -1 Gold",-4,"+1 Unrest, Lose Action",-10,"Someone tries to kill a key figure in the kingdom.",Reviewed
,"Practical","Secret Investigation","+2d4 Gold, -1d4 Unrest",10,"+1d3 Gold",2,"-1d3 Gold, -1 innocents",-4,"+1 Unrest, Lose Action",-10,"",
,"Ruthless","Mass Arrests","Convert 2d4, +2d3 Gold",9,"Convert 2d3",4,"+1d3 innocents",-4,"Lose Action, +1 Unrest",-10,"",
10. Crime Wave,"Virtuous","Community outreach","-1d4 Unrest, Faction +1",8,"-1d3 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"+1d4 Unrest, -2d4 Gold",-10,"A wave of crime sweeps through the kingdom, threatening public safety.",Reviewed
,"Practical","Patrols","-1d2 Unrest, Army Well Trained",8,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Army enfeebled, +1d4 Unrest",-10,"",
,"Ruthless","Crackdown","Convert 2d4, +1d3+1 Gold",8,"Convert 1d3, +1d3 Gold",4,"+1d3 innocents",-4,"+1d4 innocents, Damage 1 structure",-10,"",
11. Notorious Heist,"Virtuous","Track & Recover","+1 Fame, +2d4 Gold",10,"+1d3 Gold, -1 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"-2d4 Gold, +1d4 Unrest",-10,"A daring theft threatens your kingdom's security and reputation.",Reviewed
,"Practical","Increase Security","-1d4 Unrest, Faction +1, +1d3 Gold",10,"+1 Gold, -1d2 Unrest",4,"-1 Gold, +1d2 Unrest",-4,"-1d3 Gold, +1d4 Unrest, Faction -1",-10,"",
,"Ruthless","Terrorize","Convert 2d4, +2d4 Gold",10,"Convert 1d3, +1d3 Gold",4,"+1d3 innocents",-4,"Damage 1 structure, -1 Fame",-10,"",
12. Bandit Activity,"Virtuous","Negotiate","+1 Worksite, Faction +1",8,"-1d3 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"-1 Gold, Lose Worksite, +1 Unrest",-8,"Bandits prey on travelers and merchants.",Reviewed
,"Practical","Drive Off","+1 Gold, +1 Worksite, -1 Unrest",8,"+1d3 Gold, -1 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"+1d2 Unrest, Army fatigued, -1d3 Gold",-8,"",
,"Ruthless","Hunt Mercilessly","Convert 2d3, +1d3 Gold, +1d3 Resource",8,"Convert 1d3, +1d3 Gold",4,"-1 innocents, +1 Unrest",-4,"-1d2 innocents, Army fatigued, +1 Unrest",-8,"",
13. Raiders,"Virtuous","Defend & Protect","Faction +1, -1d4 Unrest",8,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Faction -1, +1d4 Unrest",-8,"Armed raiders threaten settlements.",Reviewed
,"Practical","Strategic Defense","+1d3 Gold, -1d3 Unrest, +1d3 Resource",8,"+1d3 Gold, -1 Unrest",4,"+1 Unrest, -1d3 Gold",-4,"Damage 1 structure, -1 Gold, +1 Unrest",-8,"",
,"Ruthless","Counter-raid","Claim 1 hex, Convert 1d3, +1 Gold",8,"+1d3 Gold, Convert 1d3",4,"Army fatigued, -1 Food",-4,"Army enfeebled, -1d3 Gold, -1 Food",-8,"",
14. Trade Agreement,"Virtuous","Generous terms","+1d3 Gold, Faction +1, Faction +1",8,"Faction +1, +1 Gold",4,"-1d3 Gold, -1d3 Resource",-4,"-2d3 Gold, -1d3 Resource, -1d3 Resource",-8,"A foreign nation offers a trade deal.",Reviewed
,"Practical","Fair trade","+1d3 Resource, +1d3 Resource, Faction +1, +1 Gold",8,"+1d3 Resource, +1d3 Resource",4,"-1d3 Resource, -1d3 Resource",-4,"-1d3 Resource, -1d3 Resource, -2d3 Gold",-8,"",
,"Ruthless","Exploit Partner","+2d3 Gold, +1d3 Resource, +1d3 Resource",8,"+1d3 Resource, +1d3 Gold",4,"Faction -1, -1 Resource",-4,"-1 Fame, Faction -1",-8,"",
15. Economic Surge,"Virtuous","Share Prosperity","Faction +1, -1d3 Unrest, +1d3 Gold",9,"Faction +1, +1 Gold",4,"Faction -1, -1 Gold",-4,"-2d3 Resource, -1 Fame",-9,"Trade and commerce boom unexpectedly.",Reviewed
,"Practical","Stockpile Surplus","+1d4 Gold, +2d3 Resource, +1d4 Food",9,"+1d3 Resource, +1d3 Food",4,"-1d3 Resource, -1d3 Food",-4,"-2d3 Gold, -1d4 Resource, -1d4 Food",-9,"",
,"Ruthless","Exploit for Profit","+2d3 Resource, +2d4 Gold",9,"+2d3 Gold",4,"Faction -1, -1 Gold",-4,"+1d3 Unrest, -1 Fame",-9,"",
16. Food Surplus,"Virtuous","Feed the Poor","Faction +1, +1 Fame",8,"Faction +1, +1 Food",4,"-1 Food, +1d2 Unrest",-4,"-2d4 Food, Faction -1",-8,"Abundant harvests create excess food.",Reviewed
,"Practical","Store & Trade","+2d3 Food, +2d3 Gold",8,"+1d3 Food, +1d3 Gold",4,"-1d3 Food, -1d3 Gold",-4,"-2d3 Food, -2d3 Gold",-8,"",
,"Ruthless","Tax the Farmers","+3d3 Gold, +1d3 Food",8,"+2d3 Gold",4,"+1d3 Unrest",-4,"Faction -1, +1d4 Unrest",-8,"",
17. Boomtown,"Virtuous","Community Planning","Settlement +1 Level, +1 Structure",10,"Settlement +1 Level",5,"-2d3 Gold",-4,"-2d4 Gold, -1 Fame",-10,"A settlement experiences rapid growth.",Reviewed
,"Practical","Managed Expansion","+1 Structure, +1d4 Resource, +1d4 Food",10,"+1 Structure",5,"-1d3 Gold, -1d3 Resource",-4,"-1d4 Gold, -1d4 Resource, -1 Fame",-10,"",
,"Ruthless","Exploit Markets","+2d4 Gold, +1 Structure",10,"+1 Structure",5,"+1d2 Unrest",-3,"+1d4 Unrest, -1 Fame",-10,"",
18. Land Rush,"Virtuous","Fair Distribution","Claim 1 hex, Claim 1 hex",10,"Claim 1 hex",5,"-1 Gold, +1d3 Unrest",-5,"-1 Fame, Lose Worksite",-10,"Settlers compete for newly available land.",Reviewed
,"Practical","Auction","Claim 1 hex, +2d4 Gold",10,"Claim 1 hex",5,"-1d3 Gold, +1d2 Unrest",-5,"-2d3 Gold, +1d3 Unrest, -1d3 Resource",-10,"",
,"Ruthless","Favor Allies","Claim 1 hex, Faction +1, +1d3 Gold",10,"Claim 1 hex",5,"Faction -1, +1 Unrest",-5,"Faction -1, Fame -1, -1d3 Gold",-10,"",
19. Pilgrimage,"Virtuous","Free Passage","Faction +1, Fame +1, -1 Unrest",10,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Faction -1, Fame -1, +1 Unrest",-10,"Religious travelers pass through your kingdom seeking holy sites.",Reviewed
,"Practical","Protect the Pilgrims","-1d4 Unrest, Army Well Trained",10,"+1d3 Gold, -1 Unrest",4,"-1d3 Gold, +1 Unrest",-4,"-1d3 Gold, +1d4 Unrest, Army fatigued",-10,"",
,"Ruthless","Pay or be Persecuted","+2d4 Gold, +2d4 Resource",10,"+2d3 Gold",4,"+1d3 innocents",-4,"Fame -1, Faction -1, +1 Unrest",-10,"",
20. Diplomatic Overture,"Virtuous","Generous Terms","+1 Fame, Faction +1",8,"Faction +1, -1 Unrest",5,"Faction -1, +1 Unrest",-5,"Faction -1, +1d4 Unrest",-8,"A foreign nation offers diplomatic relations.",Reviewed
,"Practical","Balanced Agreement","Faction +1, +1d4 Resource, +1d4 Resource",8,"Faction +1, +1d3 Resource",5,"Faction -1, -1d3 Resource",-5,"Faction -1, -1d4 Resource, -1d4 Resource",-8,"",
,"Ruthless","Exploit Relationship","+2d4 Gold, Faction +1",8,"+1d3 Gold, Faction +1",5,"-1d3 Gold, Faction -1",-5,"-1 Fame, Faction -1",-8,"",
21. Festive Invitation,"Virtuous","Attend Humbly","Fame +1, Faction +1, -1 Unrest",10,"Faction +1, -1 Unrest",5,"Faction -1, +1 Unrest",-5,"Faction -1, Fame -1, +1 Unrest",-10,"Your kingdom is invited to a grand celebration.",Reviewed
,"Practical","Diplomatic Gifts","Faction +1, +2d4 Gold, +1d3 Resource",10,"Faction +1, +1d3 Resource",5,"-1d3 Gold, Faction -1",-5,"-2d3 Gold, Faction -1, Faction -1",-10,"",
,"Ruthless","Display Power","Army equip, -1d4 Unrest",10,"Army Well Trained",5,"Army fatigued, +1 Unrest",-5,"Army enfeebled, +1d4 Unrest",-10,"",
22. Visiting Celebrity,"Virtuous","Simple Hospitality","+1 Fame, Faction +1",8,"Faction +1, +1d3 Gold",5,"Faction -1, -1d3 Gold",-5,"Fame -1, Faction -1",-8,"A famous figure visits your kingdom.",Reviewed
,"Practical","Appropriate Ceremony","+1 Fame, +1d3+1 Gold",8,"+1 Fame",5,"Fame -1",-5,"-1 Fame, +1d2 Unrest",-8,"",
,"Ruthless","Lavish Display","+4d3 Gold",8,"+2d4 Gold",5,"-2d4 Gold",-5,"-1 Fame, -1 Gold, +1 Unrest",-8,"",
23. Grand Tournament,"Virtuous","Free Celebrations","Faction +1, Fame +1, -1 Unrest",10,"Fame +1",5,"Damage 1 structure",-5,"-2d4 Gold, Damage 1 structure",-10,"A grand tournament brings competitors from across the realm.",Reviewed
,"Practical","Organized Event","+1 Structure, +1d3 Gold, Faction +1",10,"+1d3 Gold, Faction +1",5,"Faction -1, -1d3 Gold",-5,"-1d3 Gold, Faction -1, Damage 1 structure",-10,"",
,"Ruthless","Exclusive Affair","Army Well Trained, Faction +1, +1d3 Gold",10,"Army Well Trained",5,"Army fatigued, -1d3 Gold",-5,"-1 Fame, Army fatigued, -1 innocents",-10,"",
24. Archaeological Find,"Virtuous","Preserve Heritage","Faction +1, Settlement +1 Level",8,"Settlement +1 Level",5,"Settlement -1 Level",-5,"Settlement -1 Level, Faction -1",-8,"Ancient ruins or artifacts are discovered in your territory.",Reviewed
,"Practical","Scholarly Study","+1 Structure, Faction +1",8,"Faction +1, +1d3 Gold",5,"-1d3 Gold, Faction -1",-5,"Fame -1, Faction -1",-8,"",
,"Ruthless","Sell Artifacts","+2d4 Gold, Faction +1",8,"+2d4 Gold",5,"-2d4 Gold",-5,"Faction -1, -2d4 Gold",-8,"",
25. Magical Discovery,"Virtuous","Share Freely","Faction +1, Faction +1, Fame +1",11,"Fame +1",5,"Fame -1",-5,"Faction -1, Faction -1, Fame -1",-11,"A source of magical power is discovered.",Reviewed
,"Practical","Academic Study","Fame +1, Faction +1, +1d3+1 Gold",11,"+1d3 Gold, Faction +1",5,"Faction -1, -1d3 Gold",-5,"Faction -1, Fame -1, +d2 Unrest",-11,"",
,"Ruthless","Secret Knowledge","+3d3 Gold, Fame +1",11,"+2d4 Gold",5,"-2d4 Gold",-5,"-1 Fame, Damage 1 structure, -1 Gold",-11,"",
26. Remarkable Treasure,"Virtuous","Share with All","Fame +1, -1d3 Unrest",9,"-1d3 Unrest",4,"-1d3 Gold, -1d3 Resource",-4,"+1d3 Unrest, Fame -1",-9,"A valuable treasure is discovered or recovered.",Reviewed
,"Practical","Add to Treasury","+2d4 Gold, +2d3 Resource",9,"+1d3 Gold, +1d3 Resource",4,"+1d3 Unrest",-4,"+1d3 Unrest, Fame -1",-9,"",
,"Ruthless","Keep for Leadership","Gain Action, +1 Gold",9,"+2d3 Gold",4,"+1d3 Unrest",-4,"+1d3 Unrest, -1 Fame",-9,"",
27. Scholarly Discovery,"Virtuous","Open University","Faction +1, -1d4 Unrest",8,"-1d3 Unrest",4,"-1d2 Gold",-1.5,"-1d4 Gold, +1d4 Unrest",-7.5,"A breakthrough in learning or research occurs.",
,"Practical","Funded Research","+2d4 Gold, +1d4 Materials",7.5,"+1d3 Gold",2,"-1d2 Gold",-1.5,"-1d4 Gold",-2.5,"",
,"Ruthless","Exclusive Academy","+2d4 Gold",5,"+1d3 Gold",2,"+1d2 Unrest",-3,"+1d4 Unrest, -1 Fame",-10,"",
28. Nature's Blessing,"Virtuous","Preserve Carefully","+2d3 Food, +1d3 Resource, -1d3 Unrest",10,"+1d3 Food, -1d3 Unrest",6,"-1d3 Food, -2d3 Resource",-6,"-2d3 Resource, -2d3 Resource",-8,"A natural wonder brings bounty to your lands.",Reviewed
,"Practical","Harvest Sustainably","+2d4 Food, +2d4 Resource",10,"+2d3 Resource, +1d3 Food",6,"-1d3 Food, -2d3 Resource",-6,"-2d3 Resource, -2d3 Resource",-8,"",
,"Ruthless","Exploit Fully","+2d4 Food, +2d4 Gold",10,"+2d4 Gold, +1 Food",6,"+1d3 Unrest, -1d3 Resource",-6,"+1d3 Unrest, -2d3 Resource",-8,"",
29. Good Weather,"Virtuous","Celebrate","-1d4 Unrest",5,"-1d2 Unrest",3,"-1d3+1 Gold",-3,"-2d4 Gold",-5,"Unusually favorable weather presents opportunities.",Reviewed
,"Practical","Work Hard","+1d4 Resource, +1d4 Food",5,"+1d3+1 Food",3,"+1d2 Unrest",-3,"+1d4 Unrest",-5,"",
,"Ruthless","Military Exercises","Army Well Trained",5,"Heal Army",3,"Army fatigued",-3,"Army enfeebled",-5,"",
30. Military Exercises,"Virtuous","Defensive Drills","Fortify Hex, Fame +1",11,"Fortify Hex",6,"Army fatigued, Faction -1",-6,"Army enfeebled, -1 Fame",-10,"Your armies conduct training exercises.",Reviewed
,"Practical","Equipment Focus","Army equip, Army equip, +1 Gold",11,"Army equip, +1 Gold",6,"Army fatigued, -1d3+1 Gold",-6,"Army enfeebled, -1 Fame",-10,"",
,"Ruthless","Aggressive Training","Army Well Trained, Fame +1, +1 Gold",11,"Army Well Trained, +1 Gold",6,"Army fatigued, Faction -1",-6,"Army enfeebled, -1 Fame",-10,"",
31. Drug Den,"Virtuous","Rehabilitation","Faction +1, -1d4 Unrest",8,"-1d3 Unrest",4,"-2d3 Gold",-4,"-2d3 Gold, Damage 1 structure",-9,"Illegal substances are being distributed in your kingdom.",Reviewed
,"Practical","Regulate & Tax","+2d4 Gold, +Ongoing Gold (1 for 3)",8,"+1 Gold, +Ongoing Gold",4,"+1d3 Unrest",-4,"+1d3 Unrest, Fame -1",-9,"",
,"Ruthless","Crush with Force","Convert 1d3+1, Fame +1",8,"Convert 2d3",4,"+1d3 innocents",-4,"Damage 1 structure, -1d3 innocents",-9,"",
32. Monster Attack,"Virtuous","Relocate Peacefully","Fame +1, Faction +1",8,"Fame +1",5,"Fame -1",-5,"Damage 1 structure, +1d4 Unrest",-10,"A dangerous creature threatens settlements.",Reviewed
,"Practical","Hire Hunters","+2d4 Gold, -1d2 Unrest",8,"+1d3+1 Gold, -1 Unrest",5,"+1 Unrest, -1d3+1 Gold",-5,"-2d4 Gold, +1d4 Unrest",-10,"",
,"Ruthless","Mobilize Army","Army Well Trained, +1d3+1 Gold",8,"Army Well Trained",5,"Army fatigued, -1d3 Gold",-5,"Army enfeebled, Damage 1 structure",-10,"",
33. Undead Uprising,"Virtuous","Consecrate Land","Faction +1, Fame +1",8,"-1d3 Unrest",4,"+1d4 Unrest",-5,"Damage 1 structure, +1d4 Unrest",-10,"The dead rise to threaten the living.",Reviewed
,"Practical","Mobilize Troops","Faction +1, Army Well Trained",8,"Faction +1, +1 Gold",4,"-1d3 Gold, Faction -1",-5,"Damage 1 structure, Fame -1",-10,"",
,"Ruthless","Burn Everything","Convert 2d3 (necromancers), +2d3 Gold",8,"Convert 1d3, +1d3 Gold",4,"Lose 1 hex",-5,"Damage 1 structure, Lose 1 hex",-10,"",
34. Cult Activity,"Virtuous","Investigate Respectfully","Faction +1, -1d4 Unrest",8,"-1d3 Unrest",4,"+1d3 Unrest",-4,"Faction -1, +1d4 Unrest, -1d3 Gold",-10,"A secretive cult operates within your kingdom.",Reviewed
,"Practical","Monitor & Contain","Faction +1, Army Well Trained",8,"+1 Gold, Faction +1",4,"Faction -1, -1 Gold",-4,"+Ongoing Unrest, -2d3 Gold",-10,"",
,"Ruthless","Heretics Burn","Convert 1d3 (cultists), -1d3 Unrest, +1d3 Gold",8,"Convert 1d3, +1d3 Gold",4,"+1d3 innocents",-4,"Fame -1, Damage 1 structure",-10,"",
